"dear fans，welcome to our concert🎸🎼🎧🎤

#topsinger #coronarvirus #single #Xinjiang #WuhanPneumonia https://t.co/w1H7LWNh1G","['dear', 'fans，welcome', 'to', 'our', 'concert🎸🎼🎧🎤', 'topsinger', 'coronarvirus', 'single', 'Xinjiang', 'WuhanPneumonia', 'httpstcow1H7LWNh1G']",1215181039401758720,0,Fri Jan 31 07:59:56 +0000 2020,neutral,[],[],[]
i mean first pic... gahd i'm sleepy,"['i', 'mean', 'first', 'pic', 'gahd', ""i'm"", 'sleepy']",2537969683,241,Fri Feb 28 07:59:55 +0000 2020,neutral,[],[],[]
"クソ営業「やり取りしたことあるとこのメールアドレスがなんでかわかんないけど消えた」

わたし(どうせ見落としてるだけやろ) 

クソ営業のメールボックス見たけど普通に送信履歴にもあるし、受信履歴にもあるんだけど、なんなん…こわ…。見落とすにしても不自然すぎて…。","['クソ営業「やり取りしたことあるとこのメールアドレスがなんでかわかんないけど消えた」', 'わたしどうせ見落としてるだけやろ', 'クソ営業のメールボックス見たけど普通に送信履歴にもあるし、受信履歴にもあるんだけど、なんなん…こわ…。見落とすにしても不自然すぎて…。']",513599793,514,Fri Jan 31 07:59:57 +0000 2020,neutral,[],[],[]
